data_snapshot;nucleo;backlog_total;sem_prazo_count;sem_prazo_pct;over_2anos;esforco_real_total
2026-07-23;GDS-1;863;575;66.6;184;114613.2
2026-07-23;NC;51;43;84.3;9;6299.8
2026-07-23;NSS1;244;162;66.4;54;32346.8
2026-07-23;NSS2;238;97;40.8;28;37795.3
2026-07-23;NSS3;330;273;82.7;93;38171.3
2026-07-28;GDS-1;782;515;65.9;162;110338.0
2026-07-28;NC;42;34;81.0;7;5881.9
2026-07-28;NSS1;248;166;66.9;54;31567.8
2026-07-28;NSS2;240;99;41.2;29;38037.3
2026-07-28;NSS3;252;216;85.7;72;34851.0
2026-08-04;GDS-1;847;548;64.7;191;115426.6
2026-08-04;NC;48;40;83.3;7;6660.3
2026-08-04;NSS1;252;170;67.5;58;33409.9
2026-08-04;NSS2;243;100;41.2;31;38511.8
2026-08-04;NSS3;304;238;78.3;95;36844.6
2026-08-06;GDS-1;805;533;66.2;181;112066.0
2026-08-06;NC;43;34;79.1;7;5896.9
2026-08-06;NSS1;248;166;66.9;58;31567.8
2026-08-06;NSS2;242;100;41.3;32;38049.3
2026-08-06;NSS3;272;233;85.7;84;36552.0
